SYMBOL	GSM995221_AD01M001.CEL.gz	GSM995222_AD01M002.CEL.gz	GSM995223_AD01M003.CEL.gz	GSM995224_AD01M004.CEL.gz	GSM995225_AD01M005.CEL.gz	GSM995226_AD01M006.CEL.gz	GSM995227_AD01M007.CEL.gz	GSM995228_AD01M008.CEL.gz
Neb	8.921859175412852	8.968874877328243	8.521290266424836	8.46045532661374	7.179542877186669	6.986842866459576	7.081998543112505	7.199576528396004
Arl5a	11.439631201805735	11.396712592574715	10.405826904565364	10.236979526007513	7.894508894648157	8.607190284436633	8.18319504735251	8.051836265827841
Cobll1	8.658376356730328	8.46793589095612	8.316648615034008	8.440110060444217	7.773560128613598	7.624861209497289	7.727120878001586	7.66617123367382
Cd44	9.63013253101002	9.51376446223951	8.854059234149616	8.770239085584329	7.228112062343502	7.684627758998541	7.413523976078733	7.330300409764231
Ehd4	9.191426095875354	9.306229471966349	8.46191975317155	8.272163990216255	7.4228793331496785	7.475271747705612	7.336367450750034	7.4506442432413
Frmd5	9.8618300797572	9.718608759016659	8.643542275350672	8.697763004726662	7.805941179043309	7.204850200691744	7.313677737055142	7.405714014815182
Serinc3	12.70725961319286	12.717290744382286	12.31535921172401	12.290878050504876	11.208608995367623	11.763854815631484	11.568956166156946	11.457057960069989
Tnfsf10	9.919057512468589	9.831625546193889	8.462539620407664	8.299157566833408	6.790074464451023	7.1528850699881446	6.9328117252101356	7.120744516129567
S100a4	7.8956662814057195	7.764962158110836	7.776365104734964	8.084374637265832	6.745736003825443	6.756398425353237	6.726283451418688	6.743451612061403
S100a6	10.274146014640412	10.04353288928188	9.42771560672988	9.378964709159481	7.352296604498136	7.633883426938232	7.2759249370415136	6.968247071689724
S100a10	12.451606073183253	12.401575818915326	12.289654767788374	12.306672399909875	10.825954557815397	11.744327846723433	11.480618970586022	11.07435372804451
Gbp7	11.053306854408923	11.096993323871715	9.980714950291722	9.744304935689415	8.106369446208765	8.823278931287076	8.447908651853384	8.516677879749237
Gucy1a1	6.982008959005265	6.826504737416103	7.395519436524399	7.490810981377601	8.226408861921074	8.53377727524523	8.475226074956165	8.110832748532902
Il6ra	8.818089969964634	8.618887146784056	8.706926013885415	8.709820640446841	9.358912678234965	10.099833741268093	9.72639658227154	9.616868342870083
Lyn	8.22403937570571	7.8269366046808555	7.542764601626072	7.328636297483649	6.142344444263799	6.212025024767547	6.566757796564034	6.665118502175337
Chd7	8.240400197876173	8.557147261070297	7.9128217595851575	8.051176417845744	7.456210875331073	7.888375878099922	7.745747873248175	7.43513274924838
Bspry	8.130545462462889	8.07487002985728	7.761280275290509	7.8084627507731135	7.284492019804007	7.063307418161848	7.220285134184247	7.176043310034005
Penk	12.099248715346825	12.153459485150336	10.64913752134961	10.481389164614217	7.521117541062699	7.585836127380335	7.371749343257785	7.621777964697336
Atp6v0d2	8.468510774963613	8.382442368623868	9.116159394999713	8.951479950512507	6.923262782554815	7.132950253450902	7.1095349932837255	6.851296934530022
Plin2	9.61754779714783	9.495456588338513	9.256370902072781	9.135561419059446	8.433164828360017	8.559439031996414	8.315830433435131	8.184071516804037
Ncmap	8.435558580839984	8.468307433628642	8.13808182475049	8.161982126386397	7.227492695268858	7.031566411095729	7.317170564015121	7.2906121914628965
Tnfrsf1b	11.059460769876159	10.95501764207392	10.510884392658786	10.339386998948719	9.19604849568657	9.702089727286051	9.644192278066535	9.176376435082307
Fgl2	9.146037795320273	8.917452507687981	8.219728074800798	8.374788363199302	6.27367525274571	6.84297426213206	6.931263288814138	6.448055178639332
Pvrig	8.137557793510975	7.962666518582192	7.657822738882508	7.540772426990469	7.093191949660173	6.732192215568811	6.928171238056249	6.981753915628232
Adap1	9.122662852844956	8.785055823103724	8.012667641180775	7.978685191043613	6.9841643752960465	6.90378178830049	6.991233102688289	6.97691333733045
Capg	11.963532076572982	11.856979652507711	11.198196383133444	11.239781916445343	9.651555321773337	10.391119514812932	10.26600879368683	9.636090415780039
Itpr1	9.374428309727676	9.270002872115725	8.804123072382822	8.69693046631037	7.750125001967247	8.21945218061955	7.796666518723869	7.752066370388764
Pparg	8.898648759693959	8.776011828000119	8.020462790037573	7.898561321485873	6.715364212827701	6.867074252254117	7.100447224322291	7.088220053614968
Hipk2	10.651711369385348	10.583139799495685	10.011489531739759	9.944676071300272	8.995603903635633	9.334739367243404	9.238406883851853	9.079788119176763
Osbpl3	10.177561912234056	10.077042193397649	9.188490749806098	9.167333242280767	7.8538697738462115	8.101828436147594	8.021467130624242	8.063748657139048
Foxp1	8.585780585458759	8.631418874423396	9.058062817202458	8.869883841808457	9.694401450897072	10.433602711628629	10.121996859667213	9.80903510794652
Klrg1	11.49384280036259	11.469749775325212	10.94013704025202	10.763223143188553	7.494199075279923	7.1506600918793755	7.190308598191077	6.94631815478593
Cd9	8.655836498253807	8.535473468266295	8.478351649296906	8.476750400233351	9.195140833345217	10.058729666545895	9.73969828826771	9.44239750518262
St8sia1	7.069850115720619	6.845215196205157	7.497272975029336	7.391397993257073	8.128483138180195	8.844642007341571	8.441894818836559	8.287535082033806
Axl	9.170460261602654	8.963858444013445	8.766653089237591	8.720579843969828	7.51074200722697	7.705150483558417	7.595096870473946	7.720633123478143
Rbl2	10.031364735474119	10.081030634790803	9.69276937937386	9.796810631991294	8.83507546116358	9.315488780372625	9.114531766598489	8.871524508384958
Rln3	10.602679760476772	10.378531331589262	9.415479695798872	9.419962165209798	8.261422364853255	8.403340876035688	8.356164597519001	8.159636123070678
Mlkl	8.30003862310717	8.052814728007409	7.638691609748595	7.157820268847473	6.628866247091445	6.332461625794332	6.49818277586595	6.368121405737373
Casp1	6.821881539712435	6.605771303344913	6.4401125222226	6.46399426758555	5.579600687146263	5.360328950561487	5.68863674538218	5.743872341281161
Arhgap20	6.8717000141970175	6.769892864606691	6.925086317024974	6.990722245456067	7.669943873792489	7.850685792945363	7.406143369057721	7.675074390736066
Rora	9.051852340935298	8.973796769483732	9.109956687313181	9.158779413799657	8.127251261773367	8.188486815532102	8.094238217047725	8.086131777218405
